Store,Date,Temperature,Fuel_Price,CPI,Unemployment
1,2017-10-23,18 °C,"18,337 VNĐ",212.9367046,7.742000000000001 %
1,2017-02-08,29 °C,"18,477 VNĐ",213.2478853,7.742000000000001 %
1,2017-02-15,31 °C,"18,598 VNĐ",213.535609,7.742000000000001 %
1,2017-03-24,30 °C,"19,951 VNĐ",213.8233327,7.742000000000001 %
1,2017-10-24,27 °C,"20,989 VNĐ",214.11105640000002,7.742000000000001 %
1,2017-03-08,31 °C,"21,165 VNĐ",214.3627114,7.742000000000001 %
1,2017-03-15,35 °C,"21,074 VNĐ",214.59993889999998,7.742000000000001 %
1,2016-12-25,30 °C,"21,383 VNĐ",214.8371664,7.682 %
1,2017-07-25,34 °C,"21,978 VNĐ",215.07439390000002,7.682 %
1,2017-04-05,36 °C,"22,712 VNĐ",215.29185609999996,7.682 %
1,2017-04-12,36 °C,"23,100 VNĐ",215.45990530000003,7.682 %
1,2017-04-19,36 °C,"23,119 VNĐ",215.62795440000002,7.682 %
1,2017-05-26,32 °C,"23,701 VNĐ",215.7960035,7.682 %
1,2017-05-03,38 °C,"23,659 VNĐ",215.9640526,7.682 %
1,2017-05-10,34 °C,"23,707 VNĐ",215.7339202,7.682 %
1,2017-05-17,39 °C,"22,973 VNĐ",215.5037878,7.682 %
1,2017-02-24,42 °C,"22,445 VNĐ",215.27365530000003,7.682 %
1,2017-09-26,42 °C,"22,136 VNĐ",215.04352290000003,7.682 %
1,2017-06-07,43 °C,"22,069 VNĐ",214.99805959999998,7.682 %
1,2017-06-14,42 °C,"21,808 VNĐ",215.09109819999998,7.682 %
1,2016-12-28,43 °C,"21,383 VNĐ",215.18413680000003,7.9620000000000015 %
1,2017-07-28,43 °C,"21,116 VNĐ",215.27717540000003,7.9620000000000015 %
1,2017-07-05,44 °C,"21,693 VNĐ",215.3611087,7.9620000000000015 %
1,2017-07-12,43 °C,"22,154 VNĐ",215.4222784,7.9620000000000015 %
1,2017-07-19,43 °C,"22,342 VNĐ",215.4834482,7.9620000000000015 %
1,2017-04-28,46 °C,"22,354 VNĐ",215.544618,7.9620000000000015 %
1,2017-11-28,45 °C,"22,075 VNĐ",215.6057878,7.9620000000000015 %
1,2017-08-09,45 °C,"21,565 VNĐ",215.66931069999998,7.9620000000000015 %
1,2017-08-16,44 °C,"21,377 VNĐ",215.73322579999999,7.9620000000000015 %
1,2017-01-30,44 °C,"21,438 VNĐ",215.7971409,7.9620000000000015 %
1,2017-08-30,38 °C,"21,517 VNĐ",215.86105600000002,7.9620000000000015 %
1,2017-09-06,40 °C,"21,395 VNĐ",216.0410526,7.9620000000000015 %
1,2017-09-13,38 °C,"21,037 VNĐ",216.3758246,7.9620000000000015 %
1,2017-09-20,40 °C,"20,358 VNĐ",216.71059649999998,7.9620000000000015 %
1,2017-06-30,35 °C,"19,933 VNĐ",217.0453684,7.8660000000000005 %
1,2017-10-04,36 °C,"19,866 VNĐ",217.3552733,7.8660000000000005 %
1,2017-10-11,32 °C,"20,346 VNĐ",217.5159762,7.8660000000000005 %
1,2017-10-18,33 °C,"20,461 VNĐ",217.67667909999997,7.8660000000000005 %
1,2017-04-01,27 °C,"20,218 VNĐ",217.837382,7.8660000000000005 %
1,2017-11-01,30 °C,"20,006 VNĐ",217.99808489999998,7.8660000000000005 %
1,2017-11-08,31 °C,"20,072 VNĐ",218.2205088,7.8660000000000005 %
1,2017-11-15,30 °C,"19,636 VNĐ",218.4676211,7.8660000000000005 %
1,2017-02-02,24 °C,"19,247 VNĐ",218.7147333,7.8660000000000005 %
1,2017-09-02,22 °C,"19,162 VNĐ",218.96184559999998,7.8660000000000005 %
1,2017-12-06,26 °C,"19,168 VNĐ",219.17945330000003,7.8660000000000005 %
1,2017-12-13,24 °C,"18,883 VNĐ",219.3577216,7.8660000000000005 %
1,2017-12-20,22 °C,"18,986 VNĐ",219.5359898,7.8660000000000005 %
1,2018-05-23,25 °C,"19,156 VNĐ",219.71425809999997,7.348 %
1,2018-01-03,24 °C,"19,787 VNĐ",219.89252630000001,7.348 %
1,2018-01-10,27 °C,"19,830 VNĐ",219.98568930000002,7.348 %
1,2018-01-17,27 °C,"19,963 VNĐ",220.0788523,7.348 %
1,2018-02-21,28 °C,"20,388 VNĐ",220.1720153,7.348 %
1,2018-09-23,24 °C,"20,685 VNĐ",220.26517830000003,7.348 %
1,2018-02-07,23 °C,"21,298 VNĐ",220.42575860000002,7.348 %
1,2018-02-14,29 °C,"21,571 VNĐ",220.636902,7.348 %
1,2018-01-24,30 °C,"22,026 VNĐ",220.8480454,7.348 %
1,2018-08-25,29 °C,"22,263 VNĐ",221.05918870000002,7.348 %
1,2018-03-07,32 °C,"22,657 VNĐ",221.21181319999997,7.348 %
1,2018-03-14,33 °C,"22,979 VNĐ",221.2864126,7.348 %
1,2018-03-21,34 °C,"23,331 VNĐ",221.3610119,7.348 %
1,2018-05-26,35 °C,"23,610 VNĐ",221.43561119999998,7.143 %
1,2018-04-04,35 °C,"23,610 VNĐ",221.5102105,7.143 %
1,2018-04-11,33 °C,"23,525 VNĐ",221.56407369999997,7.143 %
1,2018-04-18,34 °C,"23,143 VNĐ",221.61793680000002,7.143 %
1,2018-03-27,38 °C,"22,748 VNĐ",221.6718,7.143 %
1,2018-10-27,37 °C,"22,378 VNĐ",221.72566319999999,7.143 %
1,2018-05-09,35 °C,"22,026 VNĐ",221.74267400000002,7.143 %
1,2018-05-16,39 °C,"21,608 VNĐ",221.744944,7.143 %
1,2017-12-27,39 °C,"21,244 VNĐ",221.7472139,7.143 %
1,2018-07-28,39 °C,"20,946 VNĐ",221.7494839,7.143 %
1,2018-06-06,40 °C,"20,588 VNĐ",221.76264210000002,7.143 %
1,2018-06-13,39 °C,"20,303 VNĐ",221.80302110000002,7.143 %
1,2018-06-20,42 °C,"19,939 VNĐ",221.8434,7.143 %
1,2018-05-29,41 °C,"19,581 VNĐ",221.88377889999998,6.9079999999999995 %
1,2018-07-04,39 °C,"19,757 VNĐ",221.92415789999998,6.9079999999999995 %
1,2018-07-11,40 °C,"20,091 VNĐ",221.9327267,6.9079999999999995 %
1,2018-07-18,41 °C,"20,673 VNĐ",221.9412954,6.9079999999999995 %
1,2018-02-27,43 °C,"20,734 VNĐ",221.9498642,6.9079999999999995 %
1,2018-09-29,43 °C,"21,201 VNĐ",221.9584329,6.9079999999999995 %
1,2018-08-08,42 °C,"21,668 VNĐ",222.03841090000003,6.9079999999999995 %
1,2018-08-15,39 °C,"21,966 VNĐ",222.17194569999998,6.9079999999999995 %
1,2018-08-22,40 °C,"22,075 VNĐ",222.30548050000002,6.9079999999999995 %
1,2018-06-30,42 °C,"22,633 VNĐ",222.4390153,6.9079999999999995 %
1,2018-09-05,37 °C,"22,554 VNĐ",222.58201929999998,6.9079999999999995 %
1,2018-09-12,35 °C,"22,578 VNĐ",222.7818386,6.9079999999999995 %
1,2018-09-19,38 °C,"22,245 VNĐ",222.9816579,6.9079999999999995 %
1,2018-05-01,34 °C,"21,947 VNĐ",223.1814772,6.5729999999999995 %
1,2018-12-01,31 °C,"21,850 VNĐ",223.3812965,6.5729999999999995 %
1,2018-10-10,34 °C,"21,808 VNĐ",223.4257233,6.5729999999999995 %
1,2018-10-17,35 °C,"21,274 VNĐ",223.44425130000002,6.5729999999999995 %
1,2018-02-01,28 °C,"20,546 VNĐ",223.4627793,6.5729999999999995 %
1,2018-09-02,31 °C,"20,109 VNĐ",223.48130730000003,6.5729999999999995 %
1,2018-11-07,26 °C,"19,733 VNĐ",223.5129105,6.5729999999999995 %
1,2018-11-14,28 °C,"19,484 VNĐ",223.56194739999998,6.5729999999999995 %
1,2018-11-21,26 °C,"19,460 VNĐ",223.61098419999996,6.5729999999999995 %
1,2018-07-03,32 °C,"19,405 VNĐ",223.66002110000002,6.5729999999999995 %
1,2018-12-05,24 °C,"19,223 VNĐ",223.7192767,6.5729999999999995 %
1,2018-12-12,28 °C,"18,798 VNĐ",223.8398455,6.5729999999999995 %
1,2018-12-19,22 °C,"18,859 VNĐ",223.96041430000002,6.5729999999999995 %
1,2019-03-23,21 °C,"19,180 VNĐ",224.080983,6.525 %
1,2019-10-23,25 °C,"19,678 VNĐ",224.2015518,6.525 %
1,2019-01-09,21 °C,"19,642 VNĐ",224.23581319999997,6.525 %
1,2019-01-16,27 °C,"19,581 VNĐ",224.23555180000002,6.525 %
1,2018-12-24,28 °C,"19,684 VNĐ",224.2352903,6.525 %
1,2019-07-24,28 °C,"20,734 VNĐ",224.23502889999997,6.525 %
1,2019-02-06,25 °C,"21,086 VNĐ",224.2760526,6.525 %
1,2019-02-13,25 °C,"21,826 VNĐ",224.4202895,6.525 %
1,2018-12-25,24 °C,"22,518 VNĐ",224.56452630000004,6.525 %
1,2019-07-25,25 °C,"22,196 VNĐ",224.70876319999996,6.525 %
1,2019-03-06,28 °C,"21,978 VNĐ",224.8356808,6.525 %
1,2019-03-13,32 °C,"21,911 VNĐ",224.9193005,6.525 %
1,2019-03-20,26 °C,"21,881 VNĐ",225.0029202,6.525 %
1,2019-04-25,29 °C,"21,741 VNĐ",225.08653990000002,6.314 %
1,2019-11-25,31 °C,"21,413 VNĐ",225.17015959999998,6.314 %
1,2019-04-10,34 °C,"20,940 VNĐ",225.17015959999998,6.314 %
1,2019-04-17,30 °C,"20,734 VNĐ",225.17015959999998,6.314 %
1,2019-02-24,33 °C,"20,546 VNĐ",,nan %
1,2019-09-26,32 °C,"20,582 VNĐ",,nan %
1,2019-05-08,35 °C,"20,958 VNĐ",,nan %
1,2019-05-15,39 °C,"21,201 VNĐ",,nan %
1,2019-05-22,39 °C,"21,031 VNĐ",,nan %
1,2019-06-27,38 °C,"20,867 VNĐ",,nan %
1,2019-06-05,40 °C,"20,819 VNĐ",,nan %
1,2019-06-12,41 °C,"21,110 VNĐ",,nan %
1,2019-06-19,42 °C,"21,207 VNĐ",,nan %
1,2019-04-28,40 °C,"20,764 VNĐ",,nan %
1,2019-11-28,42 °C,"20,631 VNĐ",,nan %
1,2019-07-10,40 °C,"21,577 VNĐ",,nan %
1,2019-07-17,41 °C,"21,966 VNĐ",,nan %
2,2016-04-22,20 °C,"15,607 VNĐ",210.75260530000003,8.324 %
2,2016-11-22,19 °C,"15,461 VNĐ",210.8979935,8.324 %
2,2016-02-10,20 °C,"15,255 VNĐ",210.9451605,8.324 %
2,2016-02-17,23 °C,"15,540 VNĐ",210.97595730000003,8.324 %
2,2016-04-23,24 °C,"15,928 VNĐ",211.0067542,8.324 %
2,2016-11-23,29 °C,"16,183 VNĐ",211.03755099999998,8.324 %
2,2016-03-09,27 °C,"16,505 VNĐ",210.8733316,8.324 %
2,2016-03-16,26 °C,"16,577 VNĐ",210.6766095,8.324 %
2,2016-01-26,32 °C,"16,499 VNĐ",210.4798874,8.2 %
2,2016-08-25,33 °C,"16,808 VNĐ",210.2831653,8.2 %
2,2016-04-06,34 °C,"17,039 VNĐ",210.1495463,8.2 %
2,2016-04-13,33 °C,"16,960 VNĐ",210.1000648,8.2 %
2,2016-04-20,33 °C,"16,869 VNĐ",210.0505833,8.2 %
2,2016-06-25,36 °C,"17,202 VNĐ",210.00110180000001,8.2 %
2,2016-05-04,37 °C,"17,318 VNĐ",209.9984585,8.2 %
2,2016-05-11,37 °C,"17,148 VNĐ",210.2768443,8.2 %
2,2016-05-18,41 °C,"16,741 VNĐ",210.5552301,8.2 %
2,2016-03-27,41 °C,"16,414 VNĐ",210.833616,8.2 %
2,2016-10-27,42 °C,"16,189 VNĐ",211.1120018,8.2 %
2,2016-06-08,43 °C,"16,001 VNĐ",211.10965430000002,8.2 %
2,2016-06-15,43 °C,"16,098 VNĐ",210.9950134,8.2 %
2,2016-01-29,41 °C,"16,195 VNĐ",210.8803726,8.099 %
2,2016-08-28,41 °C,"16,031 VNĐ",210.76573169999998,8.099 %
2,2016-07-06,43 °C,"15,916 VNĐ",210.7577954,8.099 %
2,2016-07-13,44 °C,"15,825 VNĐ",210.8921319,8.099 %
2,2016-07-20,42 °C,"16,019 VNĐ",211.0264684,8.099 %
2,2016-05-29,45 °C,"15,940 VNĐ",211.16080490000002,8.099 %
2,2016-08-03,45 °C,"16,335 VNĐ",211.2951413,8.099 %
2,2016-08-10,44 °C,"16,165 VNĐ",211.25965860000002,8.099 %
2,2016-08-17,44 °C,"15,892 VNĐ",211.2241759,8.099 %
2,2016-02-28,41 °C,"15,637 VNĐ",211.1886931,8.099 %
2,2016-09-29,40 °C,"15,564 VNĐ",211.15321040000003,8.099 %
2,2016-09-07,41 °C,"15,667 VNĐ",211.1806415,8.099 %
2,2016-09-14,41 °C,"15,922 VNĐ",211.2552578,8.099 %
2,2016-01-01,35 °C,"15,795 VNĐ",211.3298742,8.163 %
2,2016-07-31,32 °C,"15,977 VNĐ",211.4044906,8.163 %
2,2016-10-05,33 °C,"16,505 VNĐ",211.4713286,8.163 %
2,2016-10-12,34 °C,"16,535 VNĐ",211.5187208,8.163 %
2,2016-10-19,33 °C,"16,480 VNĐ",211.5661131,8.163 %
2,2016-05-01,29 °C,"16,316 VNĐ",211.61350530000004,8.163 %
2,2016-12-01,30 °C,"16,553 VNĐ",211.6608975,8.163 %
2,2016-11-09,25 °C,"16,814 VNĐ",211.5470304,8.163 %
2,2016-11-16,31 °C,"16,596 VNĐ",211.4062867,8.163 %
2,2016-03-02,25 °C,"16,432 VNĐ",211.265543,8.163 %
2,2016-10-02,23 °C,"17,251 VNĐ",211.12479930000003,8.163 %
2,2016-12-07,24 °C,"17,409 VNĐ",211.06454580000002,8.163 %
2,2016-12-14,25 °C,"17,512 VNĐ",211.06465989999998,8.163 %
2,2016-12-21,24 °C,"17,858 VNĐ",211.06477400000003,8.163 %
2,2017-06-21,22 °C,"18,058 VNĐ",211.06488810000002,8.027999999999999 %
2,2017-01-04,17 °C,"18,100 VNĐ",211.1176713,8.027999999999999 %
2,2017-01-11,21 °C,"18,301 VNĐ",211.48646910000002,8.027999999999999 %
2,2017-01-18,21 °C,"18,264 VNĐ",211.8552668,8.027999999999999 %
2,2017-03-23,19 °C,"18,137 VNĐ",212.22406459999996,8.027999999999999 %
2,2017-10-23,17 °C,"18,337 VNĐ",212.59286239999997,8.027999999999999 %
2,2017-02-08,29 °C,"18,477 VNĐ",212.90331150000003,8.027999999999999 %
2,2017-02-15,30 °C,"18,598 VNĐ",213.190421,8.027999999999999 %
2,2017-03-24,29 °C,"19,951 VNĐ",213.47753050000003,8.027999999999999 %
2,2017-10-24,26 °C,"20,989 VNĐ",213.7646401,8.027999999999999 %
2,2017-03-08,31 °C,"21,165 VNĐ",214.0156238,8.027999999999999 %
2,2017-03-15,35 °C,"21,074 VNĐ",214.25215730000002,8.027999999999999 %
2,2016-12-25,28 °C,"21,383 VNĐ",214.48869080000003,7.931 %
2,2017-07-25,34 °C,"21,978 VNĐ",214.7252242,7.931 %
2,2017-04-05,35 °C,"22,712 VNĐ",214.9420631,7.931 %
2,2017-04-12,35 °C,"23,100 VNĐ",215.10966569999997,7.931 %
2,2017-04-19,35 °C,"23,119 VNĐ",215.27726830000003,7.931 %
2,2017-05-26,31 °C,"23,701 VNĐ",215.44487090000004,7.931 %
2,2017-05-03,37 °C,"23,659 VNĐ",215.6124735,7.931 %
2,2017-05-10,34 °C,"23,707 VNĐ",215.38347779999998,7.931 %
2,2017-05-17,38 °C,"22,973 VNĐ",215.15448219999996,7.931 %
2,2017-02-24,42 °C,"22,445 VNĐ",214.92548650000003,7.931 %
2,2017-09-26,42 °C,"22,136 VNĐ",214.69649080000002,7.931 %
2,2017-06-07,43 °C,"22,069 VNĐ",214.6513538,7.931 %
2,2017-06-14,43 °C,"21,808 VNĐ",214.7441108,7.931 %
2,2016-12-28,43 °C,"21,383 VNĐ",214.83686780000002,7.852 %
2,2017-07-28,44 °C,"21,116 VNĐ",214.9296249,7.852 %
2,2017-07-05,45 °C,"21,693 VNĐ",215.0134426,7.852 %
2,2017-07-12,45 °C,"22,154 VNĐ",215.0749122,7.852 %
2,2017-07-19,45 °C,"22,342 VNĐ",215.1363819,7.852 %
2,2017-04-28,47 °C,"22,354 VNĐ",215.1978515,7.852 %
2,2017-11-28,46 °C,"22,075 VNĐ",215.25932110000002,7.852 %
2,2017-08-09,45 °C,"21,565 VNĐ",215.3229307,7.852 %
2,2017-08-16,45 °C,"21,377 VNĐ",215.38689700000003,7.852 %
2,2017-01-30,45 °C,"21,438 VNĐ",215.4508632,7.852 %
2,2017-08-30,39 °C,"21,517 VNĐ",215.5148295,7.852 %
2,2017-09-06,39 °C,"21,395 VNĐ",215.6944378,7.852 %
2,2017-09-13,38 °C,"21,037 VNĐ",216.02823560000002,7.852 %
2,2017-09-20,39 °C,"20,358 VNĐ",216.3620333,7.852 %
2,2017-06-30,35 °C,"19,933 VNĐ",216.69583109999996,7.441 %
2,2017-10-04,36 °C,"19,866 VNĐ",217.0048261,7.441 %
2,2017-10-11,32 °C,"20,346 VNĐ",217.1650042,7.441 %
2,2017-10-18,33 °C,"20,461 VNĐ",217.3251824,7.441 %
2,2017-04-01,28 °C,"20,218 VNĐ",217.48536049999998,7.441 %
2,2017-11-01,30 °C,"20,006 VNĐ",217.6455387,7.441 %
2,2017-11-08,31 °C,"20,072 VNĐ",217.86702180000003,7.441 %
2,2017-11-15,28 °C,"19,636 VNĐ",218.1130269,7.441 %
2,2017-02-02,24 °C,"19,247 VNĐ",218.35903190000002,7.441 %
2,2017-09-02,21 °C,"19,162 VNĐ",218.605037,7.441 %
2,2017-12-06,25 °C,"19,168 VNĐ",218.82179280000003,7.441 %
2,2017-12-13,23 °C,"18,883 VNĐ",218.9995495,7.441 %
2,2017-12-20,22 °C,"18,986 VNĐ",219.1773063,7.441 %
2,2018-05-23,23 °C,"19,156 VNĐ",219.355063,7.057 %
2,2018-01-03,23 °C,"19,787 VNĐ",219.53281980000003,7.057 %
2,2018-01-10,26 °C,"19,830 VNĐ",219.6258417,7.057 %
2,2018-01-17,25 °C,"19,963 VNĐ",219.7188636,7.057 %
2,2018-02-21,28 °C,"20,388 VNĐ",219.81188540000002,7.057 %
2,2018-09-23,23 °C,"20,685 VNĐ",219.90490730000002,7.057 %
2,2018-02-07,22 °C,"21,298 VNĐ",220.06519930000002,7.057 %
2,2018-02-14,27 °C,"21,571 VNĐ",220.27594399999998,7.057 %
2,2018-01-24,29 °C,"22,026 VNĐ",220.4866886,7.057 %
2,2018-08-25,29 °C,"22,263 VNĐ",220.6974332,7.057 %
2,2018-03-07,32 °C,"22,657 VNĐ",220.84984680000002,7.057 %
2,2018-03-14,32 °C,"22,979 VNĐ",220.9244858,7.057 %
2,2018-03-21,33 °C,"23,331 VNĐ",220.9991248,7.057 %
2,2018-05-26,34 °C,"23,610 VNĐ",221.07376380000002,6.891 %
2,2018-04-04,34 °C,"23,610 VNĐ",221.14840279999999,6.891 %
2,2018-04-11,33 °C,"23,525 VNĐ",221.2021074,6.891 %
2,2018-04-18,34 °C,"23,143 VNĐ",221.25581200000002,6.891 %
2,2018-03-27,38 °C,"22,748 VNĐ",221.30951659999997,6.891 %
2,2018-10-27,37 °C,"22,378 VNĐ",221.36322119999997,6.891 %
2,2018-05-09,36 °C,"22,026 VNĐ",221.380331,6.891 %
2,2018-05-16,39 °C,"21,608 VNĐ",221.3828029,6.891 %
2,2017-12-27,39 °C,"21,244 VNĐ",221.38527480000002,6.891 %
2,2018-07-28,39 °C,"20,946 VNĐ",221.38774669999998,6.891 %
2,2018-06-06,40 °C,"20,588 VNĐ",221.4009901,6.891 %
2,2018-06-13,41 °C,"20,303 VNĐ",221.4411622,6.891 %
2,2018-06-20,43 °C,"19,939 VNĐ",221.48133430000004,6.891 %
2,2018-05-29,42 °C,"19,581 VNĐ",221.52150640000002,6.565 %
2,2018-07-04,40 °C,"19,757 VNĐ",221.5616784,6.565 %
2,2018-07-11,42 °C,"20,091 VNĐ",221.5701123,6.565 %
2,2018-07-18,43 °C,"20,673 VNĐ",221.5785461,6.565 %
2,2018-02-27,45 °C,"20,734 VNĐ",221.58697990000002,6.565 %
2,2018-09-29,44 °C,"21,201 VNĐ",221.59541380000002,6.565 %
2,2018-08-08,42 °C,"21,668 VNĐ",221.67514590000002,6.565 %
2,2018-08-15,38 °C,"21,966 VNĐ",221.80835180000003,6.565 %
2,2018-08-22,41 °C,"22,075 VNĐ",221.94155759999998,6.565 %
2,2018-06-30,44 °C,"22,633 VNĐ",222.0747635,6.565 %
2,2018-09-05,38 °C,"22,554 VNĐ",222.2174395,6.565 %
2,2018-09-12,36 °C,"22,578 VNĐ",222.41693619999998,6.565 %
2,2018-09-19,40 °C,"22,245 VNĐ",222.61643289999998,6.565 %
2,2018-05-01,35 °C,"21,947 VNĐ",222.8159296,6.17 %
2,2018-12-01,30 °C,"21,850 VNĐ",223.01542630000003,6.17 %
2,2018-10-10,34 °C,"21,808 VNĐ",223.0598077,6.17 %
2,2018-10-17,35 °C,"21,274 VNĐ",223.0783366,6.17 %
2,2018-02-01,28 °C,"20,546 VNĐ",223.09686549999998,6.17 %
2,2018-09-02,31 °C,"20,109 VNĐ",223.1153944,6.17 %
2,2018-11-07,26 °C,"19,733 VNĐ",223.1469028,6.17 %
2,2018-11-14,29 °C,"19,484 VNĐ",223.19571729999998,6.17 %
2,2018-11-21,26 °C,"19,460 VNĐ",223.2445318,6.17 %
2,2018-07-03,32 °C,"19,405 VNĐ",223.2933463,6.17 %
2,2018-12-05,24 °C,"19,223 VNĐ",223.3523969,6.17 %
2,2018-12-12,28 °C,"18,798 VNĐ",223.4728642,6.17 %
2,2018-12-19,21 °C,"18,859 VNĐ",223.5933316,6.17 %
2,2019-03-23,20 °C,"19,180 VNĐ",223.7137989,6.237 %
2,2019-10-23,24 °C,"19,678 VNĐ",223.83426630000002,6.237 %
2,2019-01-09,20 °C,"19,642 VNĐ",223.86882000000003,6.237 %
2,2019-01-16,26 °C,"19,581 VNĐ",223.86900830000002,6.237 %
2,2018-12-24,27 °C,"19,684 VNĐ",223.8691966,6.237 %
2,2019-07-24,28 °C,"20,734 VNĐ",223.8693849,6.237 %
2,2019-02-06,24 °C,"21,086 VNĐ",223.9106714,6.237 %
2,2019-02-13,24 °C,"21,826 VNĐ",224.05470319999998,6.237 %
2,2018-12-25,23 °C,"22,518 VNĐ",224.198735,6.237 %
2,2019-07-25,26 °C,"22,196 VNĐ",224.3427668,6.237 %
2,2019-03-06,28 °C,"21,978 VNĐ",224.46943900000002,6.237 %
2,2019-03-13,30 °C,"21,911 VNĐ",224.55271209999998,6.237 %
2,2019-03-20,25 °C,"21,881 VNĐ",224.6359852,6.237 %
2,2019-04-25,29 °C,"21,741 VNĐ",224.7192583,6.112 %
2,2019-11-25,31 °C,"21,413 VNĐ",224.80253140000002,6.112 %
2,2019-04-10,34 °C,"20,940 VNĐ",224.80253140000002,6.112 %
2,2019-04-17,29 °C,"20,734 VNĐ",224.80253140000002,6.112 %
2,2019-02-24,33 °C,"20,546 VNĐ",,nan %
2,2019-09-26,32 °C,"20,582 VNĐ",,nan %
2,2019-05-08,35 °C,"20,958 VNĐ",,nan %
2,2019-05-15,38 °C,"21,201 VNĐ",,nan %
2,2019-05-22,39 °C,"21,031 VNĐ",,nan %
2,2019-06-27,38 °C,"20,867 VNĐ",,nan %
2,2019-06-05,40 °C,"20,819 VNĐ",,nan %
2,2019-06-12,41 °C,"21,110 VNĐ",,nan %
2,2019-06-19,43 °C,"21,207 VNĐ",,nan %
